Restauration - Données pole enfance;;;;;;;;;;;;;;
Tranches;;Px repas facturé;Nombre d'enfants;cout moyen de repas;DEPENSE ann. en repas;RECETTE ann. en repas;Ecarts;Taux de couverture;;;;;;
SEJOURS;DEPENSES REELLES;;;;;;;;;;;;;
;Personnel;;Transport;;Hebergement;Restauration;Materiel;;;TOTAL;;;;
;NOMBRE;CHARGES;BUS/MINI BUS;PEAGE / PARKING;CENTRE DE VACANCES;Restauration; matériel;Fournitures;Autres;;;;;
;Esapce ADOS;;1 934,41;147,60;21 765,91;179,91;83,79;;;24 111,62;;;;
;Curie ;;29 454,00;;;;;;;29 454,00;;;;
;Bressens ;;9 900,00;;22 575,00;175,55;;;;32 650,55;;;;
;"""VIDE""";;3 868,82;;16 429,03;;;298,96;314,73;20 911,54;;;;
;Total général;0,00;45 157,23;147,60;60 769,94;355,46;83,79;298,96;314,73;107 127,71;;;;
;*Curie: montant d'hebergement inclue transport;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ACCUEILS PERISCOLAIRE;DEPENSES REELLES;;;;;;;;;;;;;
;Personnel;;FOURNITURES ;Restauration;Locaux;;;TOTAL;;;;;;
;Elements;Charges personnel;FOURNITURES (papier, feutres, peinture);Restaration;Eau;Electricité;Gaz;;;;;;;
;JP1;171 094,89;;5810,47;2539,03;9726,13;16055;205 225,52;;;;;;
;Petit Prince;0,00;;;;;4,42;4,42;;;;;;
;JP2;157 998,90;;;;;;157 998,90;;;;;;
;Georg sand;268 883,59;;;;;;268 883,59;;;;;;
;Total général;597 977,38;0,00;5 810,47;2 539,03;9 726,13;16 059,42;632 112,43;;;;;;
